client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,account_id,trade_id,position_id,order_side,order_type,last_qty,last_px,currency,commission,liquidity_side,event_id,ts_event,ts_init,info,reconciliation
O-20250303-024500-001-000-1,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-001,BINANCE-001,T-5b94e96cee2bd372-11191,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,SELL,MARKET,8.953,93031.4,USDT,707.97360557 USDT,TAKER,cff2a5c9-f2ad-4431-942b-f29ebad307dd,2025-03-03 02:45:00+00:00,2025-03-03 02:45:00+00:00,{},False
O-20250303-024500-001-000-2,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-002,BINANCE-001,T-f4ded0324e613f00-11199,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BUY,STOP_MARKET,8.953,93217.5,USDT,709.38983588 USDT,TAKER,056ff59b-1c7b-42f4-8bb3-ee241bcd4142,2025-03-03 02:47:00+00:00,2025-03-03 02:47:00+00:00,{},False
O-20250303-030500-001-000-4,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-004,BINANCE-001,T-e156900d45964bf0-11268,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,SELL,MARKET,7.529,93171.4,USDT,596.26435001 USDT,TAKER,02848921-604e-4f90-8279-0b53b9df6f2f,2025-03-03 03:05:00+00:00,2025-03-03 03:05:00+00:00,{},False
O-20250303-030500-001-000-6,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-006,BINANCE-001,T-20264b7cadc85a69-11323,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BUY,LIMIT,7.529,92522.0,USDT,208.97944140 USDT,MAKER,1ff85535-1379-4672-8455-adbce777c225,2025-03-03 03:20:00+00:00,2025-03-03 03:20:00+00:00,{},False
O-20250303-164500-001-000-7,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-007,BINANCE-001,T-b458527b6b75ae06-14356,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BUY,MARKET,8.107,90019.3,USDT,620.31849534 USDT,TAKER,09eb9431-c442-46c8-8196-246519980cc1,2025-03-03 16:45:00+00:00,2025-03-03 16:45:00+00:00,{},False
O-20250303-164500-001-000-9,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-009,BINANCE-001,T-3f0d4c9ef409182a-14582,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,SELL,LIMIT,8.107,90901.6,USDT,221.08178136 USDT,MAKER,d7a2dbaf-4c06-4e26-8471-98a08439f579,2025-03-03 17:44:00+00:00,2025-03-03 17:44:00+00:00,{},False
O-20250303-204500-001-000-10,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-010,BINANCE-001,T-0cc60fc6f1b6b1f6-15285,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BUY,MARKET,8.090,85371.6,USDT,587.05780740 USDT,TAKER,ac28960f-bf2a-45d4-873b-36ccc5489a49,2025-03-03 20:45:00+00:00,2025-03-03 20:45:00+00:00,{},False
O-20250303-204500-001-000-12,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-012,BINANCE-001,T-1d2eed313d24ce28-15353,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,SELL,LIMIT,8.090,86372.2,USDT,209.62532940 USDT,MAKER,2b3c5def-572c-4299-ad70-3ac5a2d73597,2025-03-03 21:02:00+00:00,2025-03-03 21:02:00+00:00,{},False
O-20250304-033000-001-000-13,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-013,BINANCE-001,T-a5678f3fb00a2bd9-16850,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,SELL,MARKET,8.574,83981.1,USDT,612.04585869 USDT,TAKER,6c28965c-d556-43e4-a03a-d36a6a885c62,2025-03-04 03:30:00+00:00,2025-03-04 03:30:00+00:00,{},False
O-20250304-033000-001-000-14,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-014,BINANCE-001,T-9dcba104750878b8-16938,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BUY,STOP_MARKET,8.574,84247.5,USDT,613.98735525 USDT,TAKER,2e051b62-0b82-4e7c-9b3e-d84a5b72ce89,2025-03-04 03:53:00+00:00,2025-03-04 03:53:00+00:00,{},False
