client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last,trigger_price,trigger_type,expire_time_ns,trigger_instrument_id,price,is_post_only,display_qty
O-20250304-054800-001-000-1,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-001,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-09b40b9d3752b751-17382,MARKET,SELL,11.094,GTC,False,False,11.094,TAKER,84112.6,0.0,['793.17340674 USDT'],NO_TRIGGER,FILLED,OTO,OL-20250304-054800-001-000-1,"['O-20250304-054800-001-000-2', 'O-20250304-054800-001-000-3']",,,,,"['v110-competing-rotation-1741067280000000000', 'candidate-02-v53']",b36cc811-6478-4b1f-8248-8b4fb41be71d,1741067280000000000,1741067280000000000,,,,,,,
O-20250304-054800-001-000-2,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-002,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-48f2de6e41ad8b69-17406,STOP_MARKET,BUY,11.094,GTC,True,False,11.094,TAKER,84248.3,0.0,['794.45304417 USDT'],NO_TRIGGER,FILLED,OUO,OL-20250304-054800-001-000-1,['O-20250304-054800-001-000-3'],O-20250304-054800-001-000-1,,,,"['v110-competing-rotation-1741067280000000000', 'auction-rotation-invalidation']",b318806b-63f9-427d-b806-63970e69f8db,1741067280000000000,1741067700000000000,84248.3,DEFAULT,,,,,
O-20250304-054800-001-000-3,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-003,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,,LIMIT,BUY,11.094,GTC,True,False,0.000,NO_LIQUIDITY_SIDE,,,,NO_TRIGGER,CANCELED,OUO,OL-20250304-054800-001-000-1,['O-20250304-054800-001-000-2'],O-20250304-054800-001-000-1,,,,"['v110-competing-rotation-1741067280000000000', 'opposite-auction-liquidity']",5a8bfd31-d899-42d8-8082-8b6f760722e3,1741067280000000000,1741067700000000000,,,,,83887.1,True,
O-20250307-155100-001-000-4,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-004,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-66b63dac83471c49-36040,MARKET,BUY,4.478,GTC,False,False,4.478,TAKER,88677.6,0.0,['337.53354888 USDT'],NO_TRIGGER,FILLED,OTO,OL-20250307-155100-001-000-2,"['O-20250307-155100-001-000-5', 'O-20250307-155100-001-000-6']",,,,,"['v110-competing-rotation-1741362660000000000', 'candidate-02-v53']",b069b258-e50b-4fbf-a94f-d7b0ce0ea1fe,1741362660000000000,1741362660000000000,,,,,,,
O-20250307-155100-001-000-5,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-005,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-a3483744f8fa19ab-36087,STOP_MARKET,SELL,4.478,GTC,True,False,4.478,TAKER,88169.90000000001,0.0,['335.60109037 USDT'],NO_TRIGGER,FILLED,OUO,OL-20250307-155100-001-000-2,['O-20250307-155100-001-000-6'],O-20250307-155100-001-000-4,,,,"['v110-competing-rotation-1741362660000000000', 'auction-rotation-invalidation']",36ae917a-3e3a-4754-8fc4-7b0671f87e04,1741362660000000000,1741363380000000000,88169.9,DEFAULT,,,,,
O-20250307-155100-001-000-6,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-006,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,,LIMIT,SELL,4.478,GTC,True,False,0.000,NO_LIQUIDITY_SIDE,,,,NO_TRIGGER,CANCELED,OUO,OL-20250307-155100-001-000-2,['O-20250307-155100-001-000-5'],O-20250307-155100-001-000-4,,,,"['v110-competing-rotation-1741362660000000000', 'opposite-auction-liquidity']",3dc3e316-5d62-435c-b794-46704c2b71cf,1741362660000000000,1741363380000000000,,,,,89647.2,True,
O-20250307-195700-001-000-7,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-007,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-52ad3ddf3702e6c2-36998,MARKET,BUY,5.602,GTC,False,False,5.602,TAKER,87733.1,0.0,['417.75870227 USDT'],NO_TRIGGER,FILLED,OTO,OL-20250307-195700-001-000-3,"['O-20250307-195700-001-000-8', 'O-20250307-195700-001-000-9']",,,,,"['v110-competing-rotation-1741377420000000000', 'candidate-02-v53']",90d9606a-3669-48a6-b89d-c97514633de0,1741377420000000000,1741377420000000000,,,,,,,
O-20250307-195700-001-000-8,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-008,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,,STOP_MARKET,SELL,5.602,GTC,True,False,0.000,NO_LIQUIDITY_SIDE,,,,NO_TRIGGER,CANCELED,OUO,OL-20250307-195700-001-000-3,['O-20250307-195700-001-000-9'],O-20250307-195700-001-000-7,,,,"['v110-competing-rotation-1741377420000000000', 'auction-rotation-invalidation']",01cbfe9d-2bc3-4390-b449-88cbec16a013,1741377420000000000,1741378140000000000,87370.1,DEFAULT,,,,,
O-20250307-195700-001-000-9,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-009,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-8ac41b381a2aa827-37044,LIMIT,SELL,5.602,GTC,True,False,5.602,MAKER,88225.7,0.0,['148.27211142 USDT'],NO_TRIGGER,FILLED,OUO,OL-20250307-195700-001-000-3,['O-20250307-195700-001-000-8'],O-20250307-195700-001-000-7,,,,"['v110-competing-rotation-1741377420000000000', 'opposite-auction-liquidity']",4b371f69-5749-43d9-84df-97e1fdb4640d,1741377420000000000,1741378140000000000,,,,,88225.7,True,
O-20250309-191800-001-000-10,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-010,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-571a48855a955cfc-47238,MARKET,BUY,9.943,GTC,False,False,9.943,TAKER,82437.79999999999,0.0,['696.72718859 USDT'],NO_TRIGGER,FILLED,OTO,OL-20250309-191800-001-000-4,"['O-20250309-191800-001-000-11', 'O-20250309-191800-001-000-12']",,,,,"['v110-competing-rotation-1741547880000000000', 'candidate-02-v53']",48bcd45f-a710-45af-bf7c-d485db456d4b,1741547880000000000,1741547880000000000,,,,,,,
O-20250309-191800-001-000-11,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-011,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,,STOP_MARKET,SELL,9.943,GTC,True,False,0.000,NO_LIQUIDITY_SIDE,,,,NO_TRIGGER,CANCELED,OUO,OL-20250309-191800-001-000-4,['O-20250309-191800-001-000-12'],O-20250309-191800-001-000-10,,,,"['v110-competing-rotation-1741547880000000000', 'auction-rotation-invalidation']",912a2fa9-fc73-48d5-b0c6-4492740844f5,1741547880000000000,1741548540000000000,82279.5,DEFAULT,,,,,
O-20250309-191800-001-000-12,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-012,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-4a30dc197d0adb24-47280,LIMIT,SELL,9.943,GTC,True,False,9.943,MAKER,82751.2,0.0,['246.83855448 USDT'],NO_TRIGGER,FILLED,OUO,OL-20250309-191800-001-000-4,['O-20250309-191800-001-000-11'],O-20250309-191800-001-000-10,,,,"['v110-competing-rotation-1741547880000000000', 'opposite-auction-liquidity']",7bf51f8e-d618-4fa2-b6de-7ec7f1a1df1c,1741547880000000000,1741548540000000000,,,,,82751.2,True,
