client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,account_id,trade_id,position_id,order_side,order_type,last_qty,last_px,currency,commission,liquidity_side,event_id,ts_event,ts_init,info,reconciliation
O-20250303-024500-001-000-1,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-001,BINANCE-001,T-5b94e96cee2bd372-11191,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,SELL,MARKET,8.953,93031.4,USDT,707.97360557 USDT,TAKER,d59d7def-e44e-4d34-8923-957e71e86622,2025-03-03 02:45:00+00:00,2025-03-03 02:45:00+00:00,{},False
O-20250303-024500-001-000-2,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-002,BINANCE-001,T-f4ded0324e613f00-11199,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BUY,STOP_MARKET,8.953,93217.5,USDT,709.38983588 USDT,TAKER,82244769-689a-4175-96dc-b1a381ccb247,2025-03-03 02:47:00+00:00,2025-03-03 02:47:00+00:00,{},False
O-20250303-030500-001-000-4,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-004,BINANCE-001,T-e156900d45964bf0-11268,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,SELL,MARKET,7.529,93171.4,USDT,596.26435001 USDT,TAKER,7fd17326-1d11-4e63-bb5a-88b8305c3ddd,2025-03-03 03:05:00+00:00,2025-03-03 03:05:00+00:00,{},False
O-20250303-030500-001-000-6,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-006,BINANCE-001,T-94525da6af9bba40-11305,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BUY,LIMIT,7.529,92909.1,USDT,209.85378417 USDT,MAKER,82acc7b0-f4ad-42fc-8aa6-d62923306540,2025-03-03 03:15:00+00:00,2025-03-03 03:15:00+00:00,{},False
O-20250303-164500-001-000-7,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-007,BINANCE-001,T-b458527b6b75ae06-14356,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BUY,MARKET,7.873,90019.3,USDT,602.41365657 USDT,TAKER,d430dee7-8431-412f-94f5-cb998bccc6da,2025-03-03 16:45:00+00:00,2025-03-03 16:45:00+00:00,{},False
O-20250303-164500-001-000-9,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-009,BINANCE-001,T-e3bfddd52c9c79e8-14437,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,SELL,LIMIT,7.873,90398.7,USDT,213.51268953 USDT,MAKER,2845f200-1798-4caf-af88-cc9de102177c,2025-03-03 17:07:00+00:00,2025-03-03 17:07:00+00:00,{},False
O-20250303-204500-001-000-10,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-010,BINANCE-001,T-0cc60fc6f1b6b1f6-15285,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BUY,MARKET,7.558,85371.6,USDT,548.45276988 USDT,TAKER,63b7dcc3-3542-4d2f-9e19-3be09361b75b,2025-03-03 20:45:00+00:00,2025-03-03 20:45:00+00:00,{},False
O-20250303-204500-001-000-12,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-012,BINANCE-001,T-341bed130503cb5b-15297,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,SELL,LIMIT,7.558,85775.4,USDT,194.48714196 USDT,MAKER,5dc6279e-e663-4dd3-b916-97e8c86ce5d9,2025-03-03 20:48:00+00:00,2025-03-03 20:48:00+00:00,{},False
O-20250304-033000-001-000-13,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-013,BINANCE-001,T-a5678f3fb00a2bd9-16850,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,SELL,MARKET,7.673,83981.1,USDT,547.72893326 USDT,TAKER,7bee675e-d400-430c-b5c0-a1a10972b21d,2025-03-04 03:30:00+00:00,2025-03-04 03:30:00+00:00,{},False
O-20250304-033000-001-000-15,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-015,BINANCE-001,T-696be9638f389850-16914,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BUY,LIMIT,7.673,83557.2,USDT,192.34031868 USDT,MAKER,870e35ac-d4b8-4b58-ab9c-afcd578eceff,2025-03-04 03:47:00+00:00,2025-03-04 03:47:00+00:00,{},False
