total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
100000.00000000,0.00000000,100000.00000000,USDT,BINANCE-001,MARGIN,USDT,[],True,{}
99250.69290160,1338.04839000,97912.64451160,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1338.04839000', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
99250.69290160,1338.04839000,97912.64451160,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1338.04839000', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
99250.69290160,1338.04839000,97912.64451160,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1338.04839000', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
107056.54099960,0.00000000,107056.54099960,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
107056.54099960,0.00000000,107056.54099960,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
106556.55019556,892.84072150,105663.70947406,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '892.84072150', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
106556.55019556,892.84072150,105663.70947406,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '892.84072150', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
106556.55019556,892.84072150,105663.70947406,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '892.84072150', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
103845.16850072,0.00000000,103845.16850072,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
103845.16850072,0.00000000,103845.16850072,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
103053.62390702,1413.47248875,101640.15141827,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1413.47248875', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
103053.62390702,1413.47248875,101640.15141827,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1413.47248875', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
103053.62390702,1413.47248875,101640.15141827,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1413.47248875', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
100729.96634366,0.00000000,100729.96634366,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
100729.96634366,0.00000000,100729.96634366,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
99944.46316835,1402.68424163,98541.77892672,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1402.68424163', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
99944.46316835,1402.68424163,98541.77892672,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1402.68424163', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
99944.46316835,1402.68424163,98541.77892672,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1402.68424163', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
110078.20666619,0.00000000,110078.20666619,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
110078.20666619,0.00000000,110078.20666619,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
109824.01773504,453.90880563,109370.10892941,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '453.90880563', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
