symbol,side,ts,root_ts,source,entry,stop,target,root_low,root_high,scale,sweep,deep_sweep,body_ratio,displacement,impulse_flow,impulse_volume,trend_hour,eff_hour,trend_fourhour,eff_fourhour,rr,risk_atr,range_location,response_eff,pullback_volume,pullback_flow,test_flow,test_volume,retest_depth,retest_age,return_speed,micro_strength,episode,entry_fill,exit_fill,entry_ts,exit_ts,reason,net_r,unit_risk,hold_minutes,fee_r,funding_r,censored,predicted_value,nav_before,nav_after
XRPUSDT,1,1763354460000000000,1763353800000000000,1763352900000000000,2.2553,2.2493999999999996,2.2668,2.251,2.2564,15.0,0.0,0.0,2.4074074074072582,0.5669897868482225,0.12137166782186504,1.1751646736762162,0.27603450149193137,0.04786545924969469,1.1414399656287078,0.04096385542168952,1.9491525423727027,0.44016312400065094,0.7392290249433131,-0.43750000000027756,0.9320539701499309,0.04594654983589238,0.11716351051708604,0.8519377844093303,0.33908045977013546,0.7333333333333333,0.05900491800932566,0.6551724137930295,86,2.25585108,2.2489501199999995,1763354460000000001,1763355360000000000,stop,-1.0110535065152915,0.00905329000000046,14.999999999983334,0.24879359879114502,0.0,0,0.0,10000.0,9696.683948045413
XRPUSDT,1,1763458140000000000,1763455500000000000,1763454600000000000,2.1736,2.1637,2.1987,2.1681,2.1712,15.0,0.0,0.0,8.2903225806455,1.1888709210083233,0.05197880994179793,1.867773232963188,0.24724306764332976,0.04355885078776608,0.40505779167096473,0.01705426356589136,2.5353535353535426,0.5207885892912537,0.6657789613848184,0.41463414634136037,0.7136511565729436,0.08476927279005449,0.518455819237623,0.4874882470204757,0.28285714285714225,2.933333333333333,0.024150435040595275,0.7647058823529719,102,2.17413474,2.1987,1763458140000000001,1763464320000000000,target,1.7809413053847027,0.01293611000000002,102.99999999998333,0.11802677698318874,0.0,0,0.0,9696.683948045413,10214.760697095458
ETHUSDT,-1,1763509320000000000,1763507700000000000,1763506800000000000,3119.33,3126.26,3105.99,3122.0,3124.02,15.0,0.0,0.0,6.450495049505108,0.7518436927395199,0.15419140263143716,1.158127069386876,0.3189019114526379,0.056326136774809625,2.3074294620951723,0.0828856673289762,1.924963924963865,0.4732313161385094,0.5926701570680616,0.3084745762714414,0.7122161806130966,0.03627010134714098,-0.015642395457057447,0.4469267143711139,0.34188455846078647,1.8,0.02109320280367202,0.605882352941197,112,3118.716132,3105.99,1763509320000000001,1763510760000000000,target,0.9607043457156282,11.301913000000292,23.999999999983334,0.19293690068220695,-0.02762550021398961,0,0.0,10214.760697095458,10509.161646859804
SOLUSDT,1,1763714340000000000,1763712900000000000,1763712000000000000,127.66,126.28,129.33,127.43,127.82,15.0,0.0,0.0,3.4102564102565616,0.493819271689972,0.036887786071951645,3.1474927546020073,0.6133755164148977,0.07930107526881612,-1.4970521078600962,-0.0641711229946515,1.2101449275362475,0.7173374683496283,0.55195344970906,-0.41818181818186,1.0705877508355999,-0.18002484910054353,0.2670777109153276,0.5614142227341682,0.45245901639343944,1.6,0.024041201384906393,0.3783783783783753,140,127.685532,126.254744,1763714340000000001,1763718000000000000,stop,-1.0000000885888547,1.5577579999999953,60.99999999998333,0.08150825609626168,0.0,0,0.0,10509.161646859804,10193.886769524172
BTCUSDT,1,1763770980000000000,1763770500000000000,1763769600000000000,85237.8,84990.0,85599.9,85093.5,85202.1,15.0,0.0,0.0,3.465009208102838,0.5339700777898616,0.16525411964957715,1.136950479703552,1.018690488210817,0.1464946236559067,2.839133658569909,0.08629435471652062,1.4612590799030953,0.4940918046166356,0.8340132936053214,-0.255524431994956,0.8991508248675686,-0.2757703510009651,0.14066138798323236,0.7048721817803004,0.406296114117077,0.5333333333333333,0.0578484200219509,0.4147909967845218,152,85254.84756,84973.00200000001,1763770980000000001,1763771280000000000,stop,-1.000000067527852,366.95946000000293,4.999999999983333,0.23194367241547426,0.0,0,0.0,10193.886769524172,9888.07014578731
ETHUSDT,1,1763890140000000000,1763888400000000000,1763887500000000000,2807.11,2801.87,2814.5,2802.35,2805.64,15.0,0.0,0.0,2.3252279635258892,0.356876402270886,0.12199872338115703,1.1648073455215193,0.20872358389697196,0.03140007388253498,-1.292449172444292,-0.04904183619592412,1.4103053435113624,0.4289065018118056,0.5686205064636133,-0.04949874686716835,1.1214396755260345,0.04730097828341258,-0.15152268489745183,0.4240937008028791,0.41488519398259627,1.9333333333333333,0.008157013623558883,0.7500000000006559,168,2807.671422,2814.5,1763890140000000001,1763890920000000000,target,0.5304048214293097,9.166286000000238,12.999999999983334,0.21456189682494622,0.0,0,0.0,9888.07014578731,10045.410548186015
