ts_ns,nav
1708905660000000000,100000.0
1708905720000000000,100000.0
1708905780000000000,100000.0
1708905840000000000,100000.0
1708905900000000000,100000.0
1708905960000000000,100000.0
1708906020000000000,100000.0
1708906080000000000,100000.0
1708906140000000000,100000.0
1708906200000000000,100000.0
1708906260000000000,100000.0
1708906320000000000,100000.0
1708906380000000000,100000.0
1708906440000000000,100000.0
1708906500000000000,100000.0
1708906560000000000,100000.0
1708906620000000000,100000.0
1708906680000000000,100000.0
1708906740000000000,100000.0
1708906800000000000,100000.0
1708906860000000000,100000.0
1708906920000000000,100000.0
1708906980000000000,100000.0
1708907040000000000,100000.0
1708907100000000000,100000.0
1708907160000000000,100000.0
1708907220000000000,100000.0
1708907280000000000,100000.0
1708907340000000000,100000.0
1708907400000000000,100000.0
1708907460000000000,100000.0
1708907520000000000,100000.0
1708907580000000000,100000.0
1708907640000000000,100000.0
1708907700000000000,100000.0
1708907760000000000,100000.0
1708907820000000000,100000.0
1708907880000000000,100000.0
1708907940000000000,100000.0
1708908000000000000,100000.0
1708908060000000000,100000.0
1708908120000000000,100000.0
1708908180000000000,100000.0
1708908240000000000,100000.0
1708908300000000000,100000.0
1708908360000000000,100000.0
1708908420000000000,100000.0
1708908480000000000,100000.0
1708908540000000000,100000.0
1708908600000000000,100000.0
1708908660000000000,100000.0
1708908720000000000,100000.0
1708908780000000000,100000.0
1708908840000000000,100000.0
1708908900000000000,100000.0
1708908960000000000,100000.0
1708909020000000000,100000.0
1708909080000000000,100000.0
1708909140000000000,100000.0
1708909200000000000,100000.0
1708909260000000000,100000.0
1708909320000000000,100000.0
1708909380000000000,100000.0
1708909440000000000,100000.0
1708909500000000000,100000.0
1708909560000000000,100000.0
1708909620000000000,100000.0
1708909680000000000,100000.0
1708909740000000000,100000.0
1708909800000000000,100000.0
1708909860000000000,100000.0
1708909920000000000,100000.0
1708909980000000000,100000.0
1708910040000000000,100000.0
1708910100000000000,100000.0
1708910160000000000,100000.0
1708910220000000000,100000.0
1708910280000000000,100000.0
1708910340000000000,100000.0
1708910400000000000,100000.0
1708910460000000000,100000.0
1708910520000000000,100000.0
1708910580000000000,100000.0
1708910640000000000,100000.0
1708910700000000000,100000.0
1708910760000000000,100000.0
1708910820000000000,100000.0
1708910880000000000,100000.0
1708910940000000000,100000.0
1708911000000000000,100000.0
1708911060000000000,100000.0
1708911120000000000,100000.0
1708911180000000000,100000.0
1708911240000000000,100000.0
1708911300000000000,100000.0
1708911360000000000,100000.0
1708911420000000000,100000.0
1708911480000000000,100000.0
1708911540000000000,100000.0
1708911600000000000,100000.0
1708911660000000000,100000.0
1708911720000000000,100000.0
1708911780000000000,100000.0
1708911840000000000,100000.0
1708911900000000000,100000.0
1708911960000000000,100000.0
1708912020000000000,100000.0
1708912080000000000,100000.0
1708912140000000000,100000.0
1708912200000000000,100000.0
1708912260000000000,100000.0
1708912320000000000,100000.0
1708912380000000000,100000.0
1708912440000000000,100000.0
1708912500000000000,100000.0
1708912560000000000,100000.0
1708912620000000000,100000.0
1708912680000000000,100000.0
1708912740000000000,100000.0
1708912800000000000,100000.0
1708912860000000000,100000.0
1708912920000000000,100000.0
1708912980000000000,100000.0
1708913040000000000,100000.0
1708913100000000000,100000.0
1708913160000000000,100000.0
1708913220000000000,100000.0
1708913280000000000,100000.0
1708913340000000000,100000.0
1708913400000000000,100000.0
1708913460000000000,100000.0
1708913520000000000,100000.0
1708913580000000000,100000.0
1708913640000000000,100000.0
1708913700000000000,100000.0
1708913760000000000,100000.0
1708913820000000000,100000.0
1708913880000000000,100000.0
1708913940000000000,100000.0
1708914000000000000,100000.0
1708914060000000000,100000.0
1708914120000000000,100000.0
1708914180000000000,100000.0
1708914240000000000,100000.0
1708914300000000000,100000.0
1708914360000000000,100000.0
1708914420000000000,100000.0
1708914480000000000,100000.0
1708914540000000000,100000.0
1708914600000000000,100000.0
1708914660000000000,100000.0
1708914720000000000,100000.0
1708914780000000000,100000.0
1708914840000000000,100000.0
1708914900000000000,100000.0
1708914960000000000,100000.0
1708915020000000000,100000.0
1708915080000000000,100000.0
1708915140000000000,100000.0
1708915200000000000,100000.0
1708915260000000000,100000.0
1708915320000000000,100000.0
1708915380000000000,100000.0
1708915440000000000,100000.0
1708915500000000000,100000.0
1708915560000000000,100000.0
1708915620000000000,100000.0
