scenario_id,family,direction,signal_ts_ns,signal_day_utc,signal_hour_utc,submission_ts_ns,reference_entry_price,expected_entry_price,stop_price,target_price,target_reason,liquidity_level,atr_at_signal,quantity,equity_before_entry,planned_loss_budget,loss_per_unit,net_rr_at_submission,fee_rate_per_fill,actual_entry_price,opened_ts_ns,opened_bar_index,actual_exit_price,closed_ts_ns,closed_day_utc,closed_hour_utc,duration_minutes,realized_pnl_after_cost,realized_return,realized_r_multiple,outcome,forced_exit_reason
LRB-1708935480000000000-000030,SRR,LONG,1708935540000000000,2024-02-26,8,1708935600000000000,51373.6,51344.0,51290.6,51574.3,OPPOSING_EXTERNAL_LIQUIDITY,51320.0,19.15,23.908,100000.0,3000.0,125.4761976000007,1.259658748218252,0.0007,51344.1,1708935600000000000,499,51290.5,1708937580000000000,2024-02-26,8,33.0,-2999.12041176,-0.0010439368885616564,-0.99970680392,STOP,
LRB-1708938840000000000-000032,SRR,LONG,1708938900000000000,2024-02-26,9,1708938960000000000,51343.0,51315.9,51220.8,51508.5,OPPOSING_EXTERNAL_LIQUIDITY,51285.0,16.134999999999856,17.418,97000.87958824,2910.0263876472,167.06649644000538,0.72080831624576,0.0007,51316.0,1708938960000000000,555,51220.700000000004,1708939140000000000,2024-02-26,9,3.0,-2910.12436842,-0.0018571205861718692,-1.0000336700633423,STOP,
LRB-1708939860000000000-000034,SRR,LONG,1708939920000000000,2024-02-26,9,1708939980000000000,51118.2,51094.2,51072.8,51345.6,OPPOSING_INTERNAL_LIQUIDITY,51080.0,51.94499999999971,30.328,94090.75521982,2822.7226565946,93.07253107999533,1.9285189509429908,0.0007,51094.30567132684,1708939980000000000,572,51072.700000000004,1708940040000000000,2024-02-26,9,1.0,-2824.2214636,-0.0004228586932136009,-1.000530979195529,STOP,
LRB-1708940220000000000-000035,SRR,LONG,1708940280000000000,2024-02-26,9,1708940340000000000,51063.1,51035.5,50979.2,51317.6,OPPOSING_INTERNAL_LIQUIDITY,51000.0,59.365000000000144,21.397,91266.53375622,2737.9960126866,127.95945555999693,1.6431206985045068,0.0007,51035.6,1708940340000000000,578,50979.100000000006,1708940460000000000,2024-02-26,9,2.0,-2736.89647513,-0.001107070358729842,-0.9995984152089685,STOP,
LRB-1708943160000000000-000039,SRR,SHORT,1708943220000000000,2024-02-26,10,1708943280000000000,51204.3,51208.2,51272.3,51042.3,OPPOSING_INTERNAL_LIQUIDITY,51268.0,28.749999999999638,19.523,88529.63728109,2655.8891184327,136.03635000000583,0.6919080819206788,0.0007,51208.1,1708943280000000000,627,51272.4,1708944000000000000,2024-02-26,10,12.0,-2655.83766105,-0.0012556607255493353,-0.9999806251765773,STOP,
LRB-1708944000000000000-000040,SRR,SHORT,1708944060000000000,2024-02-26,10,1708944120000000000,51212.6,51247.4,51280.5,50922.5,OPPOSING_EXTERNAL_LIQUIDITY,51270.0,29.66999999999971,24.525,85873.79962004,2576.2139886011996,105.04311151999606,2.4102586674786934,0.0007,51247.299999999996,1708944120000000000,641,51280.6,1708944960000000000,2024-02-26,10,14.0,-2576.83022325,-0.0006497903304174642,-1.000239201654648,STOP,
LRB-1708959540000000000-000061,SRR,SHORT,1708959600000000000,2024-02-26,15,1708959660000000000,51720.0,51734.9,51755.9,51460.0,OPPOSING_INTERNAL_LIQUIDITY,51745.0,46.84999999999964,26.671,83296.96939679,2498.9090819036996,93.69159359999523,2.1609576934340007,0.0007,51734.8,1708959660000000000,900,51756.0,1708959720000000000,2024-02-26,15,1.0,-2497.56738876,-0.00040978219689642346,-0.9994630884519106,STOP,
LRB-1708963320000000000-000066,SRR,SHORT,1708963380000000000,2024-02-26,16,1708963440000000000,52865.4,52919.8,52954.3,52499.0,OPPOSING_INTERNAL_LIQUIDITY,52886.7,90.77499999999964,22.284,80799.40200803,2423.9820602409,108.77384339999954,3.188329373677389,0.0007,52919.7,1708963440000000000,963,52954.4,1708963560000000000,2024-02-26,16,2.0,-2424.76371108,-0.0006557104443147706,-1.0003224656039833,STOP,
LRB-1708970700000000000-000073,SRR,SHORT,1708970760000000000,2024-02-26,18,1708970820000000000,53569.5,53579.0,53648.899999999994,53373.0,OPPOSING_INTERNAL_LIQUIDITY,53630.9,53.90500000000029,16.196,78374.63829695,2351.2391489085,145.17193868000106,0.9019208615007459,0.0007,53578.899999999994,1708970820000000000,1086,53649.0,1708972200000000000,2024-02-26,18,23.0,-2351.00374788,-0.0013083508619998886,-0.9998998821414619,STOP,
LRB-1708972620000000000-000075,SRR,LONG,1708972680000000000,2024-02-26,18,1708972740000000000,53424.5,53395.9,53322.5,53669.5,OPPOSING_INTERNAL_LIQUIDITY,53392.2,53.659999999999854,15.379,76023.63454907,2280.7090364721003,148.29568504000142,1.3382332732504478,0.0007,53396.0,1708972740000000000,1118,53669.4,1708974840000000000,2024-02-26,19,35.0,3052.02744938,0.005120233725372714,1.3381923781478975,TARGET,
