trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last,price,expire_time_ns,is_post_only,display_qty,trigger_instrument_id
BACKTESTER-001,PortfolioStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-001,SOLUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-2540c71d9ce4a4d4-15857,MARKET,SELL,2597.1,GTC,False,False,2597.1,TAKER,76.169,0.0,['158.25480792 USDT'],NO_TRIGGER,FILLED,OTO,OL-20220509-013900-001-000-1,"['O-20220509-013900-001-000-2', 'O-20220509-013900-001-000-3']",,,,,['ENTRY'],19c22da5-b1fc-47f6-8679-c74443e51010,2022-05-09 01:39:00+00:00,2022-05-09 01:39:00+00:00,,,,,
BACKTESTER-001,PortfolioStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-003,SOLUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-c304490154be58f9-16033,LIMIT,BUY,2597.1,GTC,True,False,2597.1,MAKER,74.601,0.0010000000000047748,['77.49850284 USDT'],NO_TRIGGER,FILLED,OUO,OL-20220509-013900-001-000-1,['O-20220509-013900-001-000-2'],O-20220509-013900-001-000-1,,,,['TAKE_PROFIT'],16751ca1-fdb4-4746-af57-eedb1d67bfb5,2022-05-09 01:39:00+00:00,2022-05-09 02:27:00+00:00,74.600,,True,,
BACKTESTER-001,PortfolioStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-001,BTCUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-775c870db8edf987-21779,MARKET,BUY,4.427,GTC,False,False,4.427,TAKER,30347.2,0.0,['107.47764352 USDT'],NO_TRIGGER,FILLED,OTO,OL-20220510-004300-001-000-2,"['O-20220510-004300-001-000-5', 'O-20220510-004300-001-000-6']",,,,,['ENTRY'],7fbf1347-d360-4ced-9ea1-44e27cfd3755,2022-05-10 00:43:00+00:00,2022-05-10 00:43:00+00:00,,,,,
BACKTESTER-001,PortfolioStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-003,BTCUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-791395f6bfd0a019-22950,LIMIT,SELL,4.427,GTC,True,False,4.427,MAKER,31888.4,0.09999999999490683,['56.46797872 USDT'],NO_TRIGGER,FILLED,OUO,OL-20220510-004300-001-000-2,['O-20220510-004300-001-000-5'],O-20220510-004300-001-000-4,,,,['TAKE_PROFIT'],f6405ab1-d2fd-4bae-8d98-887de42fadf7,2022-05-10 00:43:00+00:00,2022-05-10 05:47:00+00:00,31888.5,,True,,
BACKTESTER-001,PortfolioStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-004,SOLUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-4be47b4fe503c1a6-23446,MARKET,BUY,2028.7,GTC,False,False,2028.7,TAKER,69.841,0.0,['113.34914936 USDT'],NO_TRIGGER,FILLED,OTO,OL-20220510-111800-001-000-3,"['O-20220510-111800-001-000-8', 'O-20220510-111800-001-000-9']",,,,,['ENTRY'],a6e211e4-f139-43e0-9b41-bf7b889a5ff4,2022-05-10 11:18:00+00:00,2022-05-10 11:18:00+00:00,,,,,
BACKTESTER-001,PortfolioStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-006,SOLUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-409a3035f95f052c-23760,LIMIT,SELL,2028.7,GTC,True,False,2028.7,MAKER,72.989,0.000999999999990564,['59.22911372 USDT'],NO_TRIGGER,FILLED,OUO,OL-20220510-111800-001-000-3,['O-20220510-111800-001-000-8'],O-20220510-111800-001-000-7,,,,['TAKE_PROFIT'],2731be14-3de4-4485-9023-364bc3d4ab60,2022-05-10 11:18:00+00:00,2022-05-10 12:40:00+00:00,72.990,,True,,
BACKTESTER-001,PortfolioStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-2-001,ETHUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-438242e85e0c55f0-30918,LIMIT,SELL,102.487,GTD,False,False,102.487,MAKER,2218.38,0.009999999999763531,['90.94204442 USDT'],NO_TRIGGER,FILLED,OTO,OL-20220511-170700-001-000-4,"['O-20220511-170700-001-000-11', 'O-20220511-170700-001-000-12']",,,,,['ENTRY'],fe20f8d3-3a3e-4dec-8d88-d49b8323e64c,2022-05-11 17:07:00+00:00,2022-05-11 17:09:00+00:00,2218.39,1.652292420000001e+18,True,,
BACKTESTER-001,PortfolioStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-2-003,ETHUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-0d82cbf64c412ffe-31511,LIMIT,BUY,102.487,GTC,True,False,102.487,MAKER,2120.01,0.010000000000218279,['86.90938595 USDT'],NO_TRIGGER,FILLED,OUO,OL-20220511-170700-001-000-4,['O-20220511-170700-001-000-11'],O-20220511-170700-001-000-10,,,,['TAKE_PROFIT'],c92c39da-ef1e-4773-b0cc-bc0b83faf774,2022-05-11 17:07:00+00:00,2022-05-11 19:40:00+00:00,2120.00,,True,,
