position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BTCUSDT-PERP.BINANCE-V53RotationStrategy-000-4206c89a-f8f0-42ff-9d47-f1b97e239d87,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20241231-153500-001-000-1,O-20241231-153500-001-000-2,SELL,FLAT,0.000,10.151,1735659300000000000,2024-12-31 15:35:00+00:00,1735659420000000000,2024-12-31 15:37:00+00:00,120000000000,95527.5,95670.09999999999,['1649.71981197 USDT'],-0.00149,-3097.25241197 USDT,True
BTCUSDT-PERP.BINANCE-V53RotationStrategy-000-99682a76-1231-4665-b736-60b8df652df8,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20241231-154500-001-000-4,O-20241231-154500-001-000-6,SELL,FLAT,0.000,6.647,1735659900000000000,2024-12-31 15:45:00+00:00,1735662720000000000,2024-12-31 16:32:00+00:00,2820000000000,95698.59999999999,94851.7,['729.83608004 USDT'],0.00885,4899.50821996 USDT,True
BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250102-154000-001-000-7,O-20250102-154000-001-000-8,BUY,FLAT,0.000,6.641,1735832400000000000,2025-01-02 15:40:00+00:00,1735833900000000000,2025-01-02 16:05:00+00:00,1500000000000,96392.9,96087.0,['1086.52016351 USDT'],-0.00317,-3118.00206351 USDT,False
