ts,nav
1722643201000000000,10000.0
1722643260000000000,10000.0
1722643320000000000,10000.0
1722643380000000000,10000.0
1722643440000000000,10000.0
1722643500000000000,10000.0
1722643560000000000,10000.0
1722643620000000000,10000.0
1722643680000000000,10000.0
1722643740000000000,10000.0
1722643800000000000,10000.0
1722643860000000000,10000.0
1722643920000000000,10000.0
1722643980000000000,10000.0
1722644040000000000,10000.0
1722644100000000000,10000.0
1722644160000000000,10000.0
1722644220000000000,10000.0
1722644280000000000,10000.0
1722644340000000000,10000.0
1722644400000000000,10000.0
1722644460000000000,10000.0
1722644520000000000,10000.0
1722644580000000000,10000.0
1722644640000000000,10000.0
1722644700000000000,10000.0
1722644760000000000,10000.0
1722644820000000000,10000.0
1722644880000000000,10000.0
1722644940000000000,10000.0
1722645000000000000,10000.0
1722645060000000000,10000.0
1722645120000000000,10000.0
1722645180000000000,10000.0
1722645240000000000,10000.0
1722645300000000000,10000.0
1722645360000000000,10000.0
1722645420000000000,10000.0
1722645480000000000,10000.0
1722645540000000000,10000.0
1722645600000000000,10000.0
1722645660000000000,10000.0
1722645720000000000,10000.0
1722645780000000000,10000.0
1722645840000000000,10000.0
1722645900000000000,10000.0
1722645960000000000,10000.0
1722646020000000000,10000.0
1722646080000000000,10000.0
1722646140000000000,10000.0
1722646200000000000,10000.0
1722646260000000000,10000.0
1722646320000000000,10000.0
1722646380000000000,10000.0
1722646440000000000,10000.0
1722646500000000000,10000.0
1722646560000000000,10000.0
1722646620000000000,10000.0
1722646680000000000,10000.0
1722646740000000000,10000.0
1722646800000000000,10000.0
1722646860000000000,10000.0
1722646920000000000,10000.0
1722646980000000000,10000.0
1722647040000000000,10000.0
1722647100000000000,10000.0
1722647160000000000,10000.0
1722647220000000000,10000.0
1722647280000000000,10000.0
1722647340000000000,10000.0
1722647400000000000,10000.0
1722647460000000000,10000.0
1722647520000000000,10000.0
1722647580000000000,10000.0
1722647640000000000,10000.0
1722647700000000000,10000.0
1722647760000000000,10000.0
1722647820000000000,10000.0
1722647880000000000,10000.0
1722647940000000000,10000.0
1722648000000000000,10000.0
1722648060000000000,10000.0
1722648120000000000,10000.0
1722648180000000000,10000.0
1722648240000000000,10000.0
1722648300000000000,10000.0
1722648360000000000,10000.0
1722648420000000000,10000.0
1722648480000000000,10000.0
1722648540000000000,10000.0
1722648600000000000,10000.0
1722648660000000000,10000.0
1722648720000000000,10000.0
1722648780000000000,10000.0
1722648840000000000,10000.0
1722648900000000000,10000.0
1722648960000000000,10000.0
